	Game Name	Percent Positive Reviews	Number of Reviews	First Genre	Second Genre	Third Genre	Price	Peak Number of Players
0	CounterStrike_2	87	7,944,962	FPS	Shooter	Multiplayer	0.0	1447897
1	HELLDIVERS_2	82	224,400	Online Co-Op	Action	Multiplayer	39.99	347410
2	Dota_2	81	2,194,353	Free to Play	MOBA	Multiplayer	0.0	636899
3	PUBG_BATTLEGROUNDS	58	2,323,053	Survival	Shooter	Battle Royale	0.0	696202
4	Tom_Clancys_Rainbow_Six_Siege	85	1,055,551	FPS	PvP	eSports	19.99	148674
5	Apex_Legends	78	803,798	Free to Play	Battle Royale	Multiplayer	0.0	429892
6	Baldurs_Gate_3	96	518,112	RPG	Choices Matter	Story Rich	59.99	100850
8	Grand_Theft_Auto_V	87	1,603,779	Open World	Action	Multiplayer	39.98	153594
9	Rust	87	852,854	Survival	Crafting	Multiplayer	39.99	117408
10	Last_Epoch	77	77,156	Action RPG	Loot	Hack and Slash	34.99	97769
11	Crab_Game	91	150,357	Psychological Horror	Multiplayer	Free to Play	0.0	64869
12	NARAKA_BLADEPOINT	75	208,116	Battle Royale	Multiplayer	Martial Arts	0.0	300322
13	Team_Fortress_2	93	1,034,431	Free to Play	Hero Shooter	Multiplayer	0.0	60696
14	ELDEN_RING	92	587,445	Souls-like	Dark Fantasy	Open World	59.99	73383
15	Palworld	94	243,332	Multiplayer	Open World	Creature Collector	29.99	110237
16	Unturned	91	535,801	Free to Play	Survival	Zombies	0.0	57769
17	Wallpaper_Engine	98	700,813	Mature	Utilities	Software	3.99	107316
18	Warframe	87	567,052	Free to Play	Action RPG	Looter Shooter	0.0	56960
19	Destiny_2	80	586,042	Free to Play	Open World	FPS	0.0	44628
20	War_Thunder	75	468,946	Free to Play	Vehicular Combat	Combat	0.0	82086
21	Dead_by_Daylight	80	514,987	Horror	Survival Horror	Multiplayer	19.99	55603
22	THE_FINALS	75	145,902	Multiplayer	Shooter	Free to Play	0.0	48519
23	Monster_Hunter_World	88	256,390	Co-op	Multiplayer	Action	29.99	104414
24	Sid_Meiers_Civilization_VI	86	218,723	Strategy	Turn-Based Strategy	Multiplayer	59.99	53357
25	Stardew_Valley	98	557,875	Farming Sim	Pixel Graphics	Life Sim	14.99	48685
26	Football_Manager_2024	88	5,882	Simulation	Sports	Strategy	59.99	66249
27	VRChat	74	213,077	VR	Free to Play	Multiplayer	0.0	28484
28	Granblue_Fantasy_Relink	90	26,519	Anime	Action	Action RPG	59.99	86097
29	Balatro	97	17,272	Roguelike Deckbuilder	Card Game	Deckbuilding	14.99	30895
30	Overwatch_2	16	249,068	Hero Shooter	Free to Play	FPS	0.0	38448
31	Supermarket_Simulator	94	11,234	Simulation	Economy	Management	12.99	47806
32	Lethal_Company	97	291,473	Online Co-Op	Horror	First-Person	9.99	33648
33	EA_SPORTS_FC_24	55	43,819	Football (Soccer)	Sports	Controller	69.99	40723
34	DayZ	76	317,619	Survival	Multiplayer	Zombies	44.99	52487
35	Left_4_Dead_2	97	628,011	Zombies	Co-op	FPS	9.99	25396
36	The_Sims_4	87	129,885	Life Sim	Character Customization	Building	0.0	30869
37	FINAL_FANTASY_XIV_Online	88	66,019	MMORPG	RPG	Massively Multiplayer	19.99	25838
38	MIR4	65	13,955	PvE	PvP	MMORPG	0.0	25180
39	Project_Zomboid	94	213,924	Survival	Zombies	Open World	19.99	26773
41	Myth_of_Empires	73	10,067	Building	Open World Survival Craft	Sandbox	39.99	30344
42	Lost_Ark	71	198,494	MMORPG	Free to Play	Action RPG	0.0	34900
43	YuGiOh_Master_Duel	75	70,656	Card Game	Free to Play	Strategy	0.0	38697
44	Hearts_of_Iron_IV	91	198,468	Strategy	World War II	Grand Strategy	39.99	42925
45	Red_Dead_Redemption_2	91	503,544	Open World	Story Rich	Western	59.99	34880
46	Terraria	97	1,004,789	Open World Survival Craft	Sandbox	Survival	9.99	28221
47	tModLoader	97	237,509	Adventure	Free to Play	Action	0.0	27796
48	Cyberpunk_2077	82	637,453	Cyberpunk	Open World	Nudity	59.99	25788
49	RimWorld	98	151,761	Colony Sim	Base Building	Survival	34.99	21256
50	The_Elder_Scrolls_V_Skyrim_Special_Edition	93	156,082	Open World	RPG	Adventure	39.99	22582
